Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
90	22	0	1.3979099	0	0	0	0	0	1e-08	0	0	0	0	3
91	22	0	1.41344223	0	0	0	0	0	1e-08	0	0	0	0	3
92	23	0	1.42897456	0	0	0	0	0	1e-08	0	0	0	0	3
93	23	0	1.4445069	0	0	0	0	0	1e-08	0	0	0	0	3
94	23	0	1.46003923	0	0	0	0	0	1e-08	0	0	0	0	3
95	23	0	1.47557156	0	0	0	0	0	1e-08	0	0	0	0	3
96	23	0	1.49110389	0	0	0	0	0	1e-08	0	0	0	0	3
97	24	0	1.50663623	0	0	0	0	0	1e-08	0	0	0	0	3
98	24	0	1.52216856	0	0	0	0	0	1e-08	0	0	0	0	3
99	24	0	1.53770089	0	0	0	0	0	1e-08	0	0	0	0	3
100	24	0	1.55323322	0	0	0	0	0	1e-08	0	0	0	0	3
101	25	0	1.56876555	0	0	0	0	0	1e-08	0	0	0	0	3
102	25	0	1.58429789	0	0	0	0	0	1e-08	0	0	0	0	3
103	25	0	1.59983022	0	0	0	0	0	1e-08	0	0	0	0	3
104	25	0	1.61536255	0	0	0	0	0	1e-08	0	0	0	0	3
105	25	0	1.63089488	0	0	0	0	0	1e-08	0	0	0	0	3
106	26	0	1.64642722	0	0	0	0	0	1e-08	0	0	0	0	3
107	26	0	1.66195955	0	0	0	0	0	1e-08	0	0	0	0	3
108	26	0	1.67749188	0	0	0	0	0	1e-08	0	0	0	0	3
109	26	0	1.69302421	0	0	0	0	0	1e-08	0	0	0	0	3
110	27	0	1.70855654	0	0	0	0	0	1e-08	0	0	0	0	3
111	27	0	1.72408888	0	0	0	0	0	1e-08	0	0	0	0	3
112	27	0	1.73962121	0	0	0	0	0	1e-08	0	0	0	0	3
113	27	0	1.75515354	0	0	0	0	0	1e-08	0	0	0	0	3
114	28	0	1.77068587	0	0	0	0	0	1e-08	0	0	0	0	3
115	28	0	1.78621821	0	0	0	0	0	1e-08	0	0	0	0	3
116	28	0	1.80175054	0	0	0	0	0	1e-08	0	0	0	0	3
