Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
57	14	0	0.885342937	0.558276919	0.626702306	0.558276919	0.658895543	0.100618624	0	0	0	0	0	3
58	15	0	0.900875269	0.527366877	0.625631857	0.527366877	0.658895543	0.131528665	0	0	0	0	0	3
59	15	0	0.916407601	0.500371918	0.623139508	0.500371918	0.658895543	0.158523625	0	0	0	0	0	3
60	15	0	0.931939933	0.473757052	0.619969389	0.473757052	0.658895543	0.185138491	0	0	0	0	0	3
61	15	0	0.947472265	0.45153954	0.615858615	0.45153954	0.658895543	0.207356003	0	0	0	0	0	3
62	16	0	0.963004598	0.432129516	0.610295153	0.432129516	0.658895543	0.226766027	0	0	0	0	0	3
63	16	0	0.97853693	0.415006433	0.603658702	0.415006433	0.658895543	0.243889109	0	0	0	0	0	3
64	16	0	0.994069262	0.397774645	0.596449181	0.397774645	0.658895543	0.261120897	0	0	0	0	0	3
65	17	0	1.00960159	0.38511854	0.588789526	0.38511854	0.658895543	0.273777003	0.0199045216	0	7.2	0	0	3
66	17	0	1.02513393	0.371500019	0.580598	0.371500019	0.658895543	0.273046935	0.0199045216	0	7.2	0	0	3
67	17	0	1.04066626	0.361657655	0.572098241	0.361657655	0.658895543	0.251690648	0.0199045216	0	7.9	0	0	3
68	17	0	1.05619859	0.354897824	0.563077523	0.354897824	0.658895543	0.233151914	0.0199045216	0	8.5	0	0	3
69	17	0	1.07173092	0.348594205	0.553699118	0.348594205	0.658895543	0.213046337	0.0199045216	0	9.3	0	0	3
70	18	0	1.08726326	0.341776236	0.544089442	0.341776236	0.654855199	0.194441703	0.0199045216	0	10.2	0	0	3
71	18	0	1.10279559	0.339271701	0.534526306	0.339271701	0.653767848	0.174995338	0.0199045216	0	11.3	0	0	3
72	18	0	1.11832792	0.33413839	0.524840565	0.33413839	0.651005394	0.159137932	0.0199045216	0	12.5	0	0	3
73	18	0	1.13386025	0.332743594	0.515196268	0.332743594	0.65008352	0.141910302	0.0199045216	0	14	0	0	3
74	19	0	1.14939258	0.331239917	0.50553434	0.331239917	0.644513004	0.124193636	0.0199045216	0	16	0	0	3
75	19	0	1.16492492	0.331019195	0.496034528	0.331019195	0.64302587	0.130761709	0.0199045216	0	15.2	0	0	3
76	19	0	1.18045725	0.330311662	0.48655834	0.330311662	0.641963274	0.140237897	0.0199045216	0	14.1	0	0	3
77	19	0	1.19598958	0.329914053	0.47716729	0.329914053	0.641963274	0.149628947	0.0199045216	0	13.3	0	0	3
78	20	0	1.21152191	0.329366046	0.467871469	0.329366046	0.641963274	0.158924768	0.0199045216	0	12.5	0	0	3
79	20	0	1.22705425	0.328801631	0.458750338	0.328801631	0.641963274	0.168045899	0.0199045216	0	11.8	0	0	3
80	20	0	1.24258658	0.326173488	0.449580165	0.326173488	0.641963274	0.177216072	0.0199045216	0	11.2	0	0	3
81	20	0	1.25811891	0.325310902	0.440448349	0.325310902	0.641963274	0.186347888	0.0199045216	0	10.6	0	0	3
82	20	0	1.27365124	0.324953211	0.431369376	0.324953211	0.641963274	0.195426861	0.0199045216	0	10.1	0	0	3
83	21	0	1.28918357	0.323480238	0.422332688	0.323480238	0.641963274	0.204463549	0.0199045216	0	9.7	0	0	3
84	21	0	1.30471591	0.323106484	0.413111706	0.323106484	0.641963274	0.213684531	0.0199045216	0	9.3	0	0	3
85	21	0	1.32024824	0.322101279	0.403769188	0.322101279	0.641963274	0.223027049	0.0199045216	0	8.9	0	0	3
86	21	0	1.33578057	0.321211359	0.394049433	0.321211359	0.629569175	0.232746804	0.0199045216	0	8.5	0	0	3
87	22	0	1.3513129	0.320718622	0.384690325	0.320718622	0.614004764	0.242105911	0.0199045216	0	8.2	0	0	3
88	22	0	1.36684524	0.32110488	0.375814571	0.320718622	0.587146824	0.250981665	0.0199045216	0	7.9	0	0	3
89	22	0	1.38237757	0.3210496	0.367751019	0.320718622	0.558276919	0.237558297	0.0199045216	0	8.3	0	0	3
90	22	0	1.3979099	0.317857946	0.360465596	0.317857946	0.527366877	0.209508931	0.0199045216	0	9.5	0	0	3
91	22	0	1.41344223	0.318070501	0.354123281	0.317857946	0.500371918	0.182513972	0.0199045216	0	10.9	0	0	3
92	23	0	1.42897456	0.317015427	0.348567024	0.317015427	0.473757052	0.156741625	0.0199045216	0	12.6	0	0	3
93	23	0	1.4445069	0.315967603	0.343785526	0.315967603	0.45153954	0.135571936	0.0199045216	0	14.6	0	0	3
94	23	0	1.46003923	0.318520401	0.339754643	0.315967603	0.432129516	0.116161912	0.0199045216	0	17.1	0	0	3
95	23	0	1.47557156	0.319193315	0.336332333	0.315967603	0.415006433	0.0990388301	0.0199045216	0	20	0	0	3
96	23	0	1.49110389	0.318900269	0.333420025	0.315967603	0.397774645	0.0818070419	0.0199045216	0	24.3	0	0	3
97	24	0	1.50663623	0.317824778	0.330997302	0.315967603	0.38511854	0.0691509362	0.0199045216	0	28.7	0	0	3
98	24	0	1.52216856	0.317456518	0.328946938	0.315967603	0.371500019	0.055532416	0.0199045216	0	35.8	0	0	3
99	24	0	1.53770089	0.315715334	0.327256493	0.315715334	0.361657655	0.0459423205	0.0199045216	0	43.3	0	0	3
100	24	0	1.55323322	0.31729358	0.325912127	0.315715334	0.354897824	0.0391824891	0.0199045216	0	50.7	0	0	3
101	25	0	1.56876555	0.318064649	0.32479597	0.315715334	0.348594205	0.032878871	0.0199045216	0	60.5	0	0	3
102	25	0	1.58429789	0.317477331	0.323853035	0.315715334	0.341776236	0.0260609016	0.0199045216	0	76.3	0	0	3
103	25	0	1.59983022	0.317114243	0.323105701	0.315715334	0.339271701	0.0235563666	0.0199045216	0	84.4	0	0	3
104	25	0	1.61536255	0.316004621	0.322400638	0.315715334	0.33413839	0.0184230556	0.0199045216	0	100	0	0	3
105	25	0	1.63089488	0.315337667	0.32183092	0.315337667	0.332743594	0.0174059274	0.0199045216	0	100	0	0	3
106	26	0	1.64642722	0.316815333	0.321348245	0.315337667	0.331239917	0.0159022498	0.0199045216	0	100	0	0	3
107	26	0	1.66195955	0.318312663	0.32095651	0.315337667	0.331019195	0.0156815277	0.0199045216	0	100	0	0	3
108	26	0	1.67749188	0.316681295	0.320522028	0.315337667	0.330311662	0.0149739951	0.0199045216	0	100	0	0	3
109	26	0	1.69302421	0.316302738	0.320097515	0.315337667	0.329914053	0.0145763865	0.0199045216	0	100	0	0	3
110	27	0	1.70855654	0.315017753	0.319646112	0.315017753	0.329366046	0.0143482934	0.0199045216	0	100	0	0	3
111	27	0	1.72408888	0.314058491	0.319182247	0.314058491	0.328801631	0.0147431391	0.0199045216	0	100	0	0	3
112	27	0	1.73962121	0.312465722	0.318687219	0.312465722	0.326173488	0.0137077658	0.0199045216	0	100	0	0	3
113	27	0	1.75515354	0.311362859	0.318238413	0.311362859	0.325310902	0.0139480431	0.0199045216	0	100	0	0	3
114	28	0	1.77068587	0.309683379	0.317764851	0.309683379	0.324953211	0.0152698321	0.0199045216	0	100	0	0	3
115	28	0	1.78621821	0.308373784	0.317262444	0.308373784	0.323480238	0.0151064545	0.0199045216	0	100	0	0	3
116	28	0	1.80175054	0.306464344	0.316746811	0.306464344	0.323106484	0.0166421397	0.0199045216	0	100	0	0	3
