Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	16	0	0.97853693	293.200003	293.200002	293.2	293.200003	1.62530523e-06	0	0	0	0	0	3
64	16	0	0.994069262	293.200003	293.200002	293.2	293.200003	1.71379941e-06	0	0	0	0	0	3
65	17	0	1.00960159	293.200004	293.200002	293.2	293.200004	1.80280227e-06	2.93200004e-06	0	0	0	0	3
66	17	0	1.02513393	293.200004	293.200002	293.2	293.200004	1.89058312e-06	2.93200004e-06	0	0	0	0	3
67	17	0	1.04066626	293.200004	293.200002	293.2	293.200004	1.97857014e-06	2.93200004e-06	0	0	0	0	3
68	17	0	1.05619859	293.200004	293.200002	293.2	293.200004	2.06706073e-06	2.93200004e-06	0	0	0	0	3
69	17	0	1.07173092	293.200004	293.200002	293.200001	293.200004	2.15478133e-06	2.93200004e-06	0	0	0	0	3
70	18	0	1.08726326	293.200004	293.200002	293.200001	293.200004	2.24005731e-06	2.93200004e-06	0	0	0	0	3
71	18	0	1.10279559	293.200004	293.200002	293.200001	293.200004	2.32318075e-06	2.93200004e-06	0	0	0	0	3
72	18	0	1.11832792	293.200004	293.200003	293.200001	293.200004	2.40447423e-06	2.93200004e-06	0	0	0	0	3
73	18	0	1.13386025	293.200004	293.200003	293.200001	293.200004	2.48296527e-06	2.93200004e-06	0	0	0	0	3
74	19	0	1.14939258	293.200004	293.200003	293.200001	293.200004	2.55716145e-06	2.93200004e-06	0	0	0	0	3
75	19	0	1.16492492	293.200004	293.200003	293.200001	293.200004	2.62656505e-06	2.93200004e-06	0	0	0	0	3
76	19	0	1.18045725	293.200004	293.200003	293.200001	293.200004	2.69087752e-06	2.93200004e-06	0	0	0	0	3
77	19	0	1.19598958	293.200005	293.200003	293.200001	293.200005	2.75250255e-06	2.93200005e-06	0	0	0	0	3
78	20	0	1.21152191	293.200005	293.200003	293.200001	293.200005	2.80382307e-06	2.93200005e-06	0	0	0	0	3
79	20	0	1.22705425	293.200005	293.200003	293.200002	293.200005	2.8451102e-06	2.93200005e-06	0	0	0	0	3
80	20	0	1.24258658	293.200005	293.200003	293.200002	293.200005	2.88679416e-06	2.93200005e-06	0	0	0	0	3
81	20	0	1.25811891	293.200005	293.200003	293.200002	293.200005	2.91845896e-06	2.93200005e-06	0	0	0	0	3
82	20	0	1.27365124	293.200005	293.200004	293.200002	293.200005	2.85610696e-06	2.93200005e-06	0	0	0	0	3
83	21	0	1.28918357	293.200005	293.200004	293.200002	293.200005	2.79340543e-06	2.93200005e-06	0	0	0	0	3
84	21	0	1.30471591	293.200005	293.200004	293.200002	293.200005	2.7302213e-06	2.93200005e-06	0	0	0	0	3
85	21	0	1.32024824	293.200005	293.200004	293.200002	293.200005	2.67024728e-06	2.93200005e-06	0	0	0	0	3
86	21	0	1.33578057	293.200005	293.200004	293.200002	293.200005	2.61548655e-06	2.93200005e-06	0	0	0	0	3
87	22	0	1.3513129	293.200005	293.200004	293.200003	293.200005	2.57403207e-06	2.93200005e-06	0	0	0	0	3
88	22	0	1.36684524	293.200005	293.200004	293.200003	293.200005	2.54119226e-06	2.93200005e-06	0	0	0	0	3
89	22	0	1.38237757	293.200005	293.200004	293.200003	293.200005	2.5203837e-06	2.93200005e-06	0	0	0	0	3
90	22	0	1.3979099	293.200005	293.200004	293.200003	293.200005	2.5100818e-06	2.93200005e-06	0	0	0	0	3
91	22	0	1.41344223	293.200005	293.200004	293.200003	293.200005	2.50749406e-06	2.93200005e-06	0	0	0	0	3
92	23	0	1.42897456	293.200006	293.200004	293.200003	293.200006	2.50909613e-06	2.93200006e-06	0	0	0	0	3
93	23	0	1.4445069	293.200006	293.200004	293.200003	293.200006	2.50752169e-06	2.93200006e-06	0	0	0	0	3
94	23	0	1.46003923	293.200006	293.200005	293.200003	293.200006	2.49496429e-06	2.93200006e-06	0	0	0	0	3
95	23	0	1.47557156	293.200006	293.200005	293.200003	293.200006	2.48233079e-06	2.93200006e-06	0	0	0	0	3
96	23	0	1.49110389	293.200006	293.200005	293.200003	293.200006	2.49945128e-06	2.93200006e-06	0	0	0	0	3
97	24	0	1.50663623	293.200006	293.200005	293.200004	293.200006	2.51582105e-06	2.93200006e-06	0	0	0	0	3
98	24	0	1.52216856	293.200006	293.200005	293.200004	293.200006	2.53176887e-06	2.93200006e-06	0	0	0	0	3
99	24	0	1.53770089	293.200006	293.200005	293.200004	293.200006	2.55881787e-06	2.93200006e-06	0	0	0	0	3
100	24	0	1.55323322	293.200006	293.200005	293.200004	293.200006	2.56304781e-06	2.93200006e-06	0	0	0	0	3
101	25	0	1.56876555	293.200006	293.200005	293.200004	293.200006	2.55157738e-06	2.93200006e-06	0	0	0	0	3
102	25	0	1.58429789	293.200007	293.200005	293.200004	293.200007	2.5699523e-06	2.93200007e-06	0	0	0	0	3
103	25	0	1.59983022	293.200007	293.200005	293.200004	293.200007	2.59415731e-06	2.93200007e-06	0	0	0	0	3
104	25	0	1.61536255	293.200007	293.200005	293.200004	293.200007	2.62871413e-06	2.93200007e-06	0	0	0	0	3
105	25	0	1.63089488	293.200007	293.200005	293.200004	293.200007	2.67096459e-06	2.93200007e-06	0	0	0	0	3
106	26	0	1.64642722	293.200007	293.200006	293.200004	293.200007	2.71998709e-06	2.93200007e-06	0	0	0	0	3
107	26	0	1.66195955	293.200007	293.200006	293.200004	293.200007	2.70327178e-06	2.93200007e-06	0	0	0	0	3
108	26	0	1.67749188	293.200007	293.200006	293.200004	293.200007	2.68990487e-06	2.93200007e-06	0	0	0	0	3
109	26	0	1.69302421	293.200007	293.200006	293.200005	293.200007	2.68031192e-06	2.93200007e-06	0	0	0	0	3
110	27	0	1.70855654	293.200008	293.200006	293.200005	293.200008	2.67473638e-06	2.93200008e-06	0	0	0	0	3
111	27	0	1.72408888	293.200008	293.200006	293.200005	293.200008	2.67313237e-06	2.93200008e-06	0	0	0	0	3
112	27	0	1.73962121	293.200008	293.200006	293.200005	293.200008	2.67559363e-06	2.93200008e-06	0	0	0	0	3
113	27	0	1.75515354	293.200008	293.200006	293.200005	293.200008	2.68221544e-06	2.93200008e-06	0	0	0	0	3
114	28	0	1.77068587	293.200008	293.200006	293.200005	293.200008	2.69294048e-06	2.93200008e-06	0	0	0	0	3
115	28	0	1.78621821	293.200008	293.200006	293.200005	293.200008	2.70777485e-06	2.93200008e-06	0	0	0	0	3
116	28	0	1.80175054	293.200008	293.200006	293.200005	293.200008	2.72671195e-06	2.93200008e-06	0	0	0	0	3
